user_id,phone_number,imei_prefix,phone_model,timestamp,current_city,current_area,current_location_lat,current_location_lon,cell_tower_id,cell_tower_lat,cell_tower_lon,previous_city,previous_area,previous_location_lat,previous_location_lon,prev_cell_tower_id,prev_cell_tower_lat,prev_cell_tower_lon,last_sim_usage_timestamp,last_device_usage_timestamp,sim_change_flag,device_change_flag,time_since_last_sim_change,num_calls_last_24h,num_sms_last_24h,data_usage_last_24h,change_in_data_usage,login_attempts,num_failed_logins_last_24h,transaction_count,account_activity_flag,is_roaming,distance_change_km,change_in_cell_tower_id,risk_score,label,is_sim_swap,alert_type
DEMOUSER_5000,+94753835887,13793078,Xiaomi Poco X4,2026-01-28 13:58:15,Negombo,Area_12,9.696599,80.626227,KUR_KU_4434,6.991454,79.659384,Jaffna,Area_18,9.668056,80.329422,BAD_HA_6702,7.873425,81.416005,2026-01-26 20:58:15,2026-01-28 11:58:15,0,0,33,10,24,1.24,0.43,1,3,3,1,1,16.3,0,7.03,0,0,NORMAL_BEHAVIOR
DEMOUSER_5001,+94775733786,40364331,Xiaomi Note 18,2026-02-11 13:58:15,Matara,Area_15,8.292319,81.780907,BAD_BA_4976,8.334874,81.449437,Galle,Area_11,6.762201,81.753245,KUR_KU_3314,7.073976,81.548619,2026-02-09 15:58:15,2026-02-09 01:58:15,1,1,46,66,56,6.89,3.07,20,10,6,0,0,389.97,0,71.68,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_5002,+94751163877,75494566,Vivo Y35,2026-02-16 13:58:15,Matara,Area_19,9.405555,81.119584,BAT_OD_2052,6.087974,80.115722,Negombo,Area_15,7.230917,79.554975,BAD_EL_3957,5.943987,81.656236,2026-02-15 08:58:15,2026-02-14 15:58:15,1,1,43,25,43,3.59,4.01,11,11,5,0,1,479.64,1,93.72,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_5003,+94770533542,70664395,iPhone 15 Pro,2026-02-06 13:58:15,Jaffna,Area_11,8.275257,80.544325,BAD_BA_9248,8.151062,81.679054,Kandy,Area_15,8.854451,79.55725,ANU_TA_6215,8.067729,80.253463,2026-02-05 17:58:15,2026-02-05 03:58:15,1,1,11,43,91,5.81,2.92,21,6,17,0,1,242.91,1,78.7,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_5004,+94769557519,48656306,Vivo Y35,2026-02-12 13:58:15,Batticaloa,Area_5,9.748214,79.693614,JAF_CH_6864,6.462675,80.698986,Batticaloa,Area_16,8.668663,80.066053,BAD_HA_2819,9.180945,81.71445,2026-02-11 13:58:15,2026-02-12 05:58:15,1,1,34,39,113,7.99,5.69,16,14,9,0,0,299.83,1,63.06,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_5005,+94784889189,57471897,Oppo Reno 8,2026-02-01 13:58:15,Jaffna,Area_12,8.319024,80.034523,BAT_KA_8317,6.255631,81.306278,Colombo,Area_10,5.970396,81.627934,KUR_NA_8079,6.161776,80.932174,2026-01-31 10:58:15,2026-01-29 20:58:15,0,0,12,11,24,1.47,4.34,3,2,7,0,0,1.88,0,21.04,0,0,NORMAL_BEHAVIOR
DEMOUSER_5006,+94744012115,16078269,Xiaomi Poco X4,2026-02-02 13:58:15,Batticaloa,Area_4,6.079383,81.774731,BAD_HA_8607,9.087094,81.680838,Anuradhapura,Area_7,9.186076,80.29114,RAT_EM_8304,6.798448,81.072012,2026-02-01 23:58:15,2026-02-01 22:58:15,1,1,6,21,141,5.64,2.03,18,13,4,1,0,284.79,1,75.62,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_5007,+94722284767,42891108,iPhone 14,2026-02-22 13:58:15,Colombo,Area_11,9.044628,81.793748,RAT_EM_7830,8.27816,79.692363,Kandy,Area_17,6.054802,80.731739,COL_MO_1515,6.235915,79.815011,2026-02-21 06:58:15,2026-02-20 17:58:15,1,1,41,73,59,7.41,-0.3,28,15,4,1,0,436.58,0,65.87,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_5008,+94787441920,49321544,Xiaomi Poco X4,2026-02-12 13:58:15,Matara,Area_11,7.80818,80.079233,JAF_CH_9161,7.012578,80.829501,Colombo,Area_10,9.329183,80.366458,KUR_NA_1596,8.023145,81.6378,2026-02-10 14:58:15,2026-02-09 20:58:15,0,0,36,5,24,0.28,2.41,4,3,6,1,1,27.71,0,30.9,0,0,NORMAL_BEHAVIOR
DEMOUSER_5009,+94762906879,14779835,Samsung Galaxy S22,2026-02-02 13:58:15,Kurunegala,Area_12,7.8752,81.125124,BAT_OD_9360,6.583626,79.654577,Batticaloa,Area_10,5.976325,80.203981,KUR_NA_1138,6.381351,79.632547,2026-02-02 06:58:15,2026-02-02 09:58:15,1,0,21,24,78,7.08,4.54,11,6,13,1,0,148.14,0,63.04,1,1,HIGH_RISK_SIM_SWAP
